variant,order,rung,added,n_sources,sources,schedule,exposure,train_edges,checkpoint_step,model_prefix,model_key,logical_id,task,dataset,entry_rung,rel_to_entry,in_training,is_newcomer,metric,value,primary
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,classification,covid_political,4,-3,0,0,roc_auc,0.9259742222222223,1
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,classification,covid_political,4,-3,0,0,accuracy,0.8770833333333333,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,classification,covid_political,4,-3,0,0,f1,0.8740715444378041,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,classification,election2020,5,-4,0,0,roc_auc,0.986394,1
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,classification,election2020,5,-4,0,0,accuracy,0.974,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,classification,election2020,5,-4,0,0,f1,0.9744597249508841,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,classification,ukr_rus_suspended,6,-5,0,0,roc_auc,0.480718,1
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,classification,ukr_rus_suspended,6,-5,0,0,accuracy,0.486,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,classification,ukr_rus_suspended,6,-5,0,0,f1,0.47010309278350515,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,classification,twibot20,7,-6,0,0,roc_auc,0.622469125,1
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,classification,twibot20,7,-6,0,0,accuracy,0.591,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,classification,twibot20,7,-6,0,0,f1,0.5767506036564333,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,ukr_rus_twitter,1,0,1,1,auc,0.7700862244897959,1
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,ukr_rus_twitter,1,0,1,1,average_precision,0.7627029988551804,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,ukr_rus_twitter,1,0,1,1,hits_at_50,0.94,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,covid19_twitter,2,-1,0,0,auc,0.8777173469387755,1
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,covid19_twitter,2,-1,0,0,average_precision,0.8681164868254954,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,covid19_twitter,2,-1,0,0,hits_at_50,0.96,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,midterm,3,-2,0,0,auc,0.709722193877551,1
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,midterm,3,-2,0,0,average_precision,0.6488957664059077,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,midterm,3,-2,0,0,hits_at_50,0.64,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,twibot20,7,-6,0,0,auc,0.7956642857142857,1
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,twibot20,7,-6,0,0,average_precision,0.7626150103556133,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,twibot20,7,-6,0,0,hits_at_50,0.86,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,cp_hk_twitter,8,-7,0,0,auc,0.5700869897959183,1
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,cp_hk_twitter,8,-7,0,0,average_precision,0.51818625357505,0
matched40k,A,1,ukr_rus,1,ukr_rus,interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r1,matched40k_A_r1,static_lp,cp_hk_twitter,8,-7,0,0,hits_at_50,0.22,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,classification,covid_political,4,-2,0,0,roc_auc,0.9308580555555556,1
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,classification,covid_political,4,-2,0,0,accuracy,0.885,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,classification,covid_political,4,-2,0,0,f1,0.8848848848848849,0
