training_steps,target,added_donor,base_donors,expanded_donors,roc_auc_delta
500,covid_political,election2020,facebook_page_reference,"election2020,facebook_page_reference",0.1006122037037036
500,covid_political,election2020,ukr_rus_suspended,"election2020,ukr_rus_suspended",0.027410166666666846
500,covid_political,election2020,twibot20,"election2020,twibot20",0.0037079999999999336
500,covid_political,election2020,"facebook_page_reference,ukr_rus_suspended","election2020,facebook_page_reference,ukr_rus_suspended",0.038344388888888914
500,covid_political,election2020,"facebook_page_reference,twibot20","election2020,facebook_page_reference,twibot20",-0.1077449814814816
500,covid_political,election2020,"twibot20,ukr_rus_suspended","election2020,twibot20,ukr_rus_suspended",0.008425888888888955
500,covid_political,election2020,"facebook_page_reference,twibot20,ukr_rus_suspended","election2020,facebook_page_reference,twibot20,ukr_rus_suspended",0.0051112037037037705
500,covid_political,facebook_page_reference,election2020,"election2020,facebook_page_reference",0.08377281481481458
500,covid_political,facebook_page_reference,ukr_rus_suspended,"facebook_page_reference,ukr_rus_suspended",0.005605722222222331
500,covid_political,facebook_page_reference,twibot20,"facebook_page_reference,twibot20",0.02382788888888898
500,covid_political,facebook_page_reference,"election2020,ukr_rus_suspended","election2020,facebook_page_reference,ukr_rus_suspended",0.0165399444444444
500,covid_political,facebook_page_reference,"election2020,twibot20","election2020,facebook_page_reference,twibot20",-0.08762509259259255
500,covid_political,facebook_page_reference,"twibot20,ukr_rus_suspended","facebook_page_reference,twibot20,ukr_rus_suspended",-0.012327518518518432
500,covid_political,facebook_page_reference,"election2020,twibot20,ukr_rus_suspended","election2020,facebook_page_reference,twibot20,ukr_rus_suspended",-0.015642203703703617
500,covid_political,twibot20,election2020,"election2020,twibot20",0.16368490740740727
500,covid_political,twibot20,facebook_page_reference,"facebook_page_reference,twibot20",0.20064418518518534
500,covid_political,twibot20,ukr_rus_suspended,"twibot20,ukr_rus_suspended",0.030792296296296318
500,covid_political,twibot20,"election2020,facebook_page_reference","election2020,facebook_page_reference,twibot20",-0.007712999999999859
500,covid_political,twibot20,"election2020,ukr_rus_suspended","election2020,twibot20,ukr_rus_suspended",0.011808018518518426
500,covid_political,twibot20,"facebook_page_reference,ukr_rus_suspended","facebook_page_reference,twibot20,ukr_rus_suspended",0.012859055555555554
500,covid_political,twibot20,"election2020,facebook_page_reference,ukr_rus_suspended","election2020,facebook_page_reference,twibot20,ukr_rus_suspended",-0.02037412962962959
500,covid_political,ukr_rus_suspended,election2020,"election2020,ukr_rus_suspended",0.16132607407407407
500,covid_political,ukr_rus_suspended,facebook_page_reference,"facebook_page_reference,ukr_rus_suspended",0.15636101851851858
500,covid_political,ukr_rus_suspended,twibot20,"twibot20,ukr_rus_suspended",0.004731296296296206
