predictor,status,coverage,artifact_or_next_step
9x9 NM ROC-AUC and accuracy,available,9/9,nm_single_source_matrix_9x9_long.csv
in-degree distribution KS,available,9/9,graph_divergence_data.json
out-degree distribution KS,available,9/9,graph_divergence_data.json
raw feature centroid distance,available,9/9,graph_divergence_data.json
raw feature Frechet distance,available,9/9,graph_divergence_data.json
raw feature MMD2,available,9/9,graph_divergence_data.json
raw feature proxy-A distance,available,9/9,graph_divergence_data.json
node and edge counts,available,9/9,graph_divergence_data.json
feature homophily,available,9/9,graph_divergence_data.json
label homophily,partial,5/9,do not impute missing labels
feature separability (proxy A),available,9/9,graph_divergence_data.json
user overlap,not generated,Twitter pairs only,run Tucker v2 extractor; Facebook pairs are NA
feature skewness,not generated,planned 9/9,run Tucker v2 extractor
neighbor-mean distribution distances,partial,8/9 means only,run Tucker v2 extractor for 9/9 PAD/MMD/projected Frechet
center-plus-neighbor distribution distances,partial,8/9 means only,run Tucker v2 extractor for 9/9 PAD/MMD/projected Frechet
time distribution,not available,heterogeneous subset,extract comparable event timestamps from raw source files
message-passing topology distance,not available,0/9,add rooted ego/WL or computation-tree distance
encoder representation distance,not available,0/9,extract layerwise embeddings from a fixed checkpoint
language/topic composition,not available,0/9,derive from bios/posts with a shared encoder or topic model
