target	target_code	target_dataset	mixture_size	donor_codes	donors	prefix
covid_political	cp	covid_political	1	ukr	ukr_rus	mixdiv2k_k1_ukr
election2020	elec	election2020	1	ukr	ukr_rus	mixdiv2k_k1_ukr
ukr_rus_suspended	susp	ukr_rus_suspended	1	ukr	ukr_rus	mixdiv2k_k1_ukr
twibot20	bot	twibot20	1	ukr	ukr_rus	mixdiv2k_k1_ukr
covid_political	cp	covid_political	1	cov	covid	mixdiv2k_k1_cov
election2020	elec	election2020	1	cov	covid	mixdiv2k_k1_cov
ukr_rus_suspended	susp	ukr_rus_suspended	1	cov	covid	mixdiv2k_k1_cov
twibot20	bot	twibot20	1	cov	covid	mixdiv2k_k1_cov
covid_political	cp	covid_political	1	mid	midterm	mixdiv2k_k1_mid
election2020	elec	election2020	1	mid	midterm	mixdiv2k_k1_mid
ukr_rus_suspended	susp	ukr_rus_suspended	1	mid	midterm	mixdiv2k_k1_mid
twibot20	bot	twibot20	1	mid	midterm	mixdiv2k_k1_mid
election2020	elec	election2020	1	cp	covid_political	mixdiv2k_k1_cp
ukr_rus_suspended	susp	ukr_rus_suspended	1	cp	covid_political	mixdiv2k_k1_cp
twibot20	bot	twibot20	1	cp	covid_political	mixdiv2k_k1_cp
covid_political	cp	covid_political	1	elec	election2020	mixdiv2k_k1_elec
ukr_rus_suspended	susp	ukr_rus_suspended	1	elec	election2020	mixdiv2k_k1_elec
twibot20	bot	twibot20	1	elec	election2020	mixdiv2k_k1_elec
covid_political	cp	covid_political	1	susp	ukr_rus_suspended	mixdiv2k_k1_susp
election2020	elec	election2020	1	susp	ukr_rus_suspended	mixdiv2k_k1_susp
twibot20	bot	twibot20	1	susp	ukr_rus_suspended	mixdiv2k_k1_susp
covid_political	cp	covid_political	1	bot	twibot20	mixdiv2k_k1_bot
election2020	elec	election2020	1	bot	twibot20	mixdiv2k_k1_bot
ukr_rus_suspended	susp	ukr_rus_suspended	1	bot	twibot20	mixdiv2k_k1_bot
covid_political	cp	covid_political	1	hk	cp_hk	mixdiv2k_k1_hk
election2020	elec	election2020	1	hk	cp_hk	mixdiv2k_k1_hk
ukr_rus_suspended	susp	ukr_rus_suspended	1	hk	cp_hk	mixdiv2k_k1_hk
twibot20	bot	twibot20	1	hk	cp_hk	mixdiv2k_k1_hk
covid_political	cp	covid_political	2	ukr,cov	ukr_rus,covid	mixdiv2k_k2_ukr-cov
election2020	elec	election2020	2	ukr,cov	ukr_rus,covid	mixdiv2k_k2_ukr-cov
ukr_rus_suspended	susp	ukr_rus_suspended	2	ukr,cov	ukr_rus,covid	mixdiv2k_k2_ukr-cov
twibot20	bot	twibot20	2	ukr,cov	ukr_rus,covid	mixdiv2k_k2_ukr-cov
covid_political	cp	covid_political	2	ukr,mid	ukr_rus,midterm	mixdiv2k_k2_ukr-mid
election2020	elec	election2020	2	ukr,mid	ukr_rus,midterm	mixdiv2k_k2_ukr-mid
ukr_rus_suspended	susp	ukr_rus_suspended	2	ukr,mid	ukr_rus,midterm	mixdiv2k_k2_ukr-mid
twibot20	bot	twibot20	2	ukr,mid	ukr_rus,midterm	mixdiv2k_k2_ukr-mid
election2020	elec	election2020	2	ukr,cp	ukr_rus,covid_political	mixdiv2k_k2_ukr-cp
ukr_rus_suspended	susp	ukr_rus_suspended	2	ukr,cp	ukr_rus,covid_political	mixdiv2k_k2_ukr-cp
twibot20	bot	twibot20	2	ukr,cp	ukr_rus,covid_political	mixdiv2k_k2_ukr-cp
covid_political	cp	covid_political	2	ukr,elec	ukr_rus,election2020	mixdiv2k_k2_ukr-elec
ukr_rus_suspended	susp	ukr_rus_suspended	2	ukr,elec	ukr_rus,election2020	mixdiv2k_k2_ukr-elec
twibot20	bot	twibot20	2	ukr,elec	ukr_rus,election2020	mixdiv2k_k2_ukr-elec
covid_political	cp	covid_political	2	ukr,susp	ukr_rus,ukr_rus_suspended	mixdiv2k_k2_ukr-susp
election2020	elec	election2020	2	ukr,susp	ukr_rus,ukr_rus_suspended	mixdiv2k_k2_ukr-susp
twibot20	bot	twibot20	2	ukr,susp	ukr_rus,ukr_rus_suspended	mixdiv2k_k2_ukr-susp
covid_political	cp	covid_political	2	ukr,bot	ukr_rus,twibot20	mixdiv2k_k2_ukr-bot
election2020	elec	election2020	2	ukr,bot	ukr_rus,twibot20	mixdiv2k_k2_ukr-bot
ukr_rus_suspended	susp	ukr_rus_suspended	2	ukr,bot	ukr_rus,twibot20	mixdiv2k_k2_ukr-bot
covid_political	cp	covid_political	2	ukr,hk	ukr_rus,cp_hk	mixdiv2k_k2_ukr-hk
election2020	elec	election2020	2	ukr,hk	ukr_rus,cp_hk	mixdiv2k_k2_ukr-hk
ukr_rus_suspended	susp	ukr_rus_suspended	2	ukr,hk	ukr_rus,cp_hk	mixdiv2k_k2_ukr-hk
twibot20	bot	twibot20	2	ukr,hk	ukr_rus,cp_hk	mixdiv2k_k2_ukr-hk
covid_political	cp	covid_political	2	cov,mid	covid,midterm	mixdiv2k_k2_cov-mid
election2020	elec	election2020	2	cov,mid	covid,midterm	mixdiv2k_k2_cov-mid
ukr_rus_suspended	susp	ukr_rus_suspended	2	cov,mid	covid,midterm	mixdiv2k_k2_cov-mid
twibot20	bot	twibot20	2	cov,mid	covid,midterm	mixdiv2k_k2_cov-mid
election2020	elec	election2020	2	cov,cp	covid,covid_political	mixdiv2k_k2_cov-cp
ukr_rus_suspended	susp	ukr_rus_suspended	2	cov,cp	covid,covid_political	mixdiv2k_k2_cov-cp
twibot20	bot	twibot20	2	cov,cp	covid,covid_political	mixdiv2k_k2_cov-cp
covid_political	cp	covid_political	2	cov,elec	covid,election2020	mixdiv2k_k2_cov-elec
ukr_rus_suspended	susp	ukr_rus_suspended	2	cov,elec	covid,election2020	mixdiv2k_k2_cov-elec
